,station,lat,lon,weatherfont,weathersymbol,weathercolour,wwletter
82,LPBJ,38.0789,-7.9324,,,,1110003600100002000300004000051000600007000080000
83,LPMR,39.8312,-8.88726,,,,1110003600100002000300004000051000600007000080000
84,LPMT,38.7039,-9.03592,,,,1110003600100002000300004000051000600007000080000
85,LPST,38.8311,-9.33955,,,,1110003600100002000300004000051000600007000080000
86,LIBA,41.5414,15.7181,,,,1110003600100002000300004000051000600007000080000
87,LIBN,40.2392,18.1333,,,,1110003600100002000300004000051000600007000080000
88,LIBV,40.7678,16.9333,,,,1110003600100002000300004000051000600007000080000
89,LIED,39.3542,8.97248,,,,1110003600100002000300004000051000600007000080000
90,LIMN,45.5296,8.66922,,,,1110003600100002000300004000051000600007000080000
91,LIMS,44.9131,9.72333,,,,1110003600100002000300004000051000600007000080000
92,LIPF,44.816,11.6134,,,,1110003600100002000300004000051000600007000080000
93,LIPS,45.6849,12.0829,36.0,^,green,1110003600100002000300004000051000600007000080000
94,LIQW,44.088,9.98795,36.0,^,green,1110003600100002000300004000051000600007000080000
95,LIRE,41.6545,12.4452,,,,1110003600100002000300004000051000600007000080000
96,LIRG,41.9903,12.7408,,,,1110003600100002000300004000051000600007000080000
97,LIRH,41.6464,13.2998,,,,1110003600100002000300004000051000600007000080000
98,LIRL,41.5424,12.909,,,,1110003600100002000300004000051000600007000080000
99,LIRS,42.7597,11.0719,,,,1110003600100002000300004000051000600007000080000
100,LIRV,42.4302,12.0642,,,,1110003600100002000300004000051000600007000080000
101,LIRM,41.0608,14.0819,,,,1110003600100002000300004000051000600007000080000
102,LICT,37.9114,12.488,,,,1110003600100002000300004000051000600007000080000
103,LIPA,46.0319,12.5965,,,,1110003600100002000300004000051000600007000080000
104,LIPI,45.9787,13.0493,,,,1110003600100002000300004000051000600007000080000
105,LICZ,37.4017,14.9224,,,,1110003600100002000300004000051000600007000080000
106,EVGA,56.7783,24.8539,,,,1110003600100002000300004000051000600007000080000
107,EYSA,55.8939,23.395,36.0,1,,1110003600100002000300004000051000600007000080000
108,EVVA,57.3578,21.5442,,,,1110003600100002000300004000051000600007000080000
109,LSZC,46.97444,8.39694,36.0,T,green,1110003600100002000300004000051000600007000080000
110,LWOH,41.18,20.7423,36.0,^,green,1110003600100002000300004000051000600007000080000
111,LWSK,41.9616,21.6214,,,,1110003600100002000300004000051000600007000080000
112,EKRS,55.4258,11.8067,,,,1110003600100002000300004000051000600007000080000
113,LSMA,46.9439,8.28417,36.0,^,green,1110003600100002000300004000051000600007000080000
114,LSMD,47.3986,8.64823,36.0,q,green,1110003600100002000300004000051000600007000080000
115,LSME,47.0924,8.30512,36.0,^,green,1110003600100002000300004000051000600007000080000
116,LSMM,46.7433,8.11,36.0,T,green,1110003600100002000300004000051000600007000080000
117,LSMP,46.8432,6.91506,,,,1110003600100002000300004000051000600007000080000
118,EGHC,50.1028,-5.67056,,,,1110003600100002000300004000051000600007000080000
119,EGHQ,50.4406,-4.99541,,,,1110003600100002000300004000051000600007000080000
120,EGCK,53.1042,-4.34028,,,,1110003600100002000300004000051000600007000080000
121,EGTK,51.8369,-1.32,36.0,1,,1110003600100002000300004000051000600007000080000
122,EGNO,53.7451,-2.88306,,,,1110003600100002000300004000051000600007000080000
123,EGEO,56.4635,-5.39967,,,,1110003600100002000300004000051000600007000080000
124,ESNZ,63.1944,14.5003,,,,1110003600100002000300004000051000600007000080000
125,ESOH,60.0201,13.5789,,,,1110003600100002000300004000051000600007000080000
126,ESCF,58.4023,15.5257,,,,1110003600100002000300004000051000600007000080000
127,ESIB,58.4264,12.7144,,,,1110003600100002000300004000051000600007000080000
128,ESPE,65.8753,20.1499,36.0,l,magenta,1110003600100002000300004000051000600007000080000
129,ESIA,58.5138,14.5071,,,,1110003600100002000300004000051000600007000080000
130,ESCM,59.8973,17.5886,,,,1110003600100002000300004000051000600007000080000
131,ESNV,64.5791,16.8336,,,,1110003600100002000300004000051000600007000080000
132,ESST,60.1576,12.9913,,,,1110003600100002000300004000051000600007000080000
133,ESUP,67.2456,23.0689,36.0,p,,1110003600100002000300004000051000600007000080000
134,ESND,62.0478,14.4229,,,,1110003600100002000300004000051000600007000080000
