icao,iata,name,city,subd,country,elevation,lat,lon,tz,lid
EBWE,,Weelde Air Base,Weelde,Flanders,BE,105,51.3947982788,4.9601898193,Europe/Brussels,
EBZH,QHA,Hasselt Airport,Hasselt,Flanders,BE,141,50.9700012207,5.3750700951,Europe/Brussels,
EBZR,OBL,Oostmalle Air Base,Zoersel,Flanders,BE,53,51.2647018433,4.7533302307,Europe/Brussels,
EBZU,,Zuienkerke Airport,Zuinkerke,Flanders,BE,16,51.2566986084,3.1405599117,Europe/Brussels,
EBZW,,Genk Zwartberg Airport,Genk,Flanders,BE,278,51.0153999329,5.5264701843,Europe/Brussels,
EDAB,,Bautzen Airport,Bautzen,Saxony,DE,568,51.193611145,14.5197219849,Europe/Berlin,
EDAC,AOC,Altenburg-Nobitz Airport,Altenburg,Thuringia,DE,640,50.9819450378,12.5063886642,Europe/Berlin,
EDAD,,Dessau Airport,Dessau,Saxony-Anhalt,DE,187,51.831693541,12.1909618378,Europe/Berlin,
EDAE,,Eisenhuttenstadt Airport,Eisenhuttenstadt,Brandenburg,DE,144,52.1972236633,14.5855560303,Europe/Berlin,
EDAG,,Grosruckerswalde Airport,Marienberg,Saxony,DE,2198,50.6441688538,13.1263885498,Europe/Berlin,
EDAH,HDF,Heringsdorf Airport,Heringsdorf,Mecklenburg-Vorpommern,DE,93,53.8787002563,14.152299881,Europe/Berlin,
EDAI,,Segeletz Airport,Neustadt,Brandenburg,DE,141,52.8266677856,12.5419435501,Europe/Berlin,
EDAJ,,Gera-Leumnitz Airport,Gera,Thuringia,DE,1014,50.8816680908,12.1358327866,Europe/Berlin,
EDAK,,Grosenhain Airport,Grosenhain,Saxony,DE,417,51.3080558777,13.5555562973,Europe/Berlin,
EDAM,,Merseburg Airport,Merseburg,Saxony-Anhalt,DE,341,51.363609314,11.9483327866,Europe/Berlin,
EDAN,,Neustadt-Glewe Airport,Neustadt-Glewe,Mecklenburg-Vorpommern,DE,115,53.3597221375,11.615278244,Europe/Berlin,
EDAO,,Nordhausen Airport,Nordhausen,Thuringia,DE,689,51.493057251,10.8333330154,Europe/Berlin,
EDAP,,Neuhausen Airport,Cottbus,Brandenburg,DE,279,51.6847229004,14.4230556488,Europe/Berlin,
EDAQ,,Halle-Oppin Airport,Oppin,Saxony-Anhalt,DE,348,51.5522232056,12.0538892746,Europe/Berlin,
EDAR,,Pirna-Pratzschwitz Airport,Pirna,Saxony,DE,400,50.9791679382,13.9097223282,Europe/Berlin,
EDAS,,Finsterwalde/Heinrichsruh Airport,Finsterwalde,Brandenburg,DE,384,51.6344451904,13.6755561829,Europe/Berlin,
EDAT,,Nardt Airport,Hoyerswerda,Saxony,DE,384,51.4511108398,14.1994438171,Europe/Berlin,
EDAU,,Riesa-Gohlis Airport,Riesa,Saxony,DE,322,51.2936096191,13.3561105728,Europe/Berlin,
EDAV,,Eberswalde-Finow Airport,Eberswalde,Brandenburg,DE,121,52.8272209167,13.693611145,Europe/Berlin,
EDAW,,Roitzschjora Airport,Roitzschjora,Saxony,DE,289,51.5777778625,12.4944438934,Europe/Berlin,
EDAX,REB,Rechlin-Larz Airport,Larz,Mecklenburg-Vorpommern,DE,220,53.306388855,12.7522220612,Europe/Berlin,
EDAY,,Strausberg Airport,Strausberg,Brandenburg,DE,262,52.5805549622,13.9166669846,Europe/Berlin,
EDAZ,,Schonhagen Airport,Trebbin,Brandenburg,DE,131,52.2036094666,13.1563892365,Europe/Berlin,
EDBA,,Arnstadt-Alkersleben Airport,Wulfershausen,Thuringia,DE,1145,50.8416671753,11.0694437027,Europe/Berlin,
EDBC,CSO,Cochstedt Airport,Magdeburg,Saxony-Anhalt,DE,594,51.8563995361,11.42029953,Europe/Berlin,
EDBD,,Emmel Airfield Dedelow Airport,Prenzlau,Brandenburg,DE,213,53.356388092,13.7836112976,Europe/Berlin,
EDBE,,Brandenburg-Muhlenfeld Airport,Brandenburg an der Havel,Brandenburg,DE,98,52.4375,12.5900001526,Europe/Berlin,
EDBF,,Ruppiner Land Airport,Fehrbellin,Brandenburg,DE,138,52.7933311462,12.7602777481,Europe/Berlin,
EDBG,,Burg Airport,Burg,Saxony-Anhalt,DE,174,52.2416687012,11.8561105728,Europe/Berlin,
EDBH,BBH,Barth Airport,,Mecklenburg-Vorpommern,DE,23,54.3375015259,12.6997003555,Europe/Berlin,
EDBI,,Zwickau Airport,Zwickau,Saxony,DE,1050,50.7016677856,12.4538888931,Europe/Berlin,
EDBJ,,Jena-Schongleina Airport,Jena,Thuringia,DE,1247,50.9152793884,11.7144441605,Europe/Berlin,
EDBK,,Kyritz Airport,Kyritz,Brandenburg,DE,131,52.918888092,12.42527771,Europe/Berlin,
EDBL,,Laucha Airport,Laucha an der Unstrut,Saxony-Anhalt,DE,738,51.2458343506,11.6933326721,Europe/Berlin,
EDBM,ZMG,Magdeburg Airport,Magdeburg,Saxony-Anhalt,DE,259,52.0736122131,11.6263885498,Europe/Berlin,
EDBO,,Oehna Airport,Zellendorf,Brandenburg,DE,289,51.899723053,13.0522222519,Europe/Berlin,
EDBP,,Pinnow Airport,Pinnow,Mecklenburg-Vorpommern,DE,144,53.6152763367,11.5611114502,Europe/Berlin,
EDBQ,,Bronkow Airport,Bronkow,Brandenburg,DE,423,51.6705551147,13.9602775574,Europe/Berlin,
EDBR,,Rothenburg/Gorlitz Airport,Rothenburg/Oberlausitz,Saxony,DE,518,51.3633346558,14.9499998093,Europe/Berlin,
EDBS,,Sommerda-Dermsdorf Airport,Kolleda,Thuringia,DE,453,51.1991653442,11.1925001144,Europe/Berlin,
EDBT,,Allstedt Airport,Allstedt,Thuringia,DE,932,51.3805541992,11.4466667175,Europe/Berlin,
EDBU,,Pritzwalk-Sommersberg Airport,Pritzwalk,Brandenburg,DE,289,53.1802787781,12.1855564117,Europe/Berlin,
EDBV,,Stralsund Airport,Stralsund,Mecklenburg-Vorpommern,DE,49,54.3358345032,13.0433330536,Europe/Berlin,
EDBW,,Werneuchen Airport,Werneuchen,Brandenburg,DE,262,52.6316680908,13.7669439316,Europe/Berlin,
EDBX,,Gorlitz Airport,Gorlitz,Saxony,DE,778,51.1588897705,14.9502782822,Europe/Berlin,
EDBY,,Schmoldow Airport,Schmoldow,Mecklenburg-Vorpommern,DE,105,53.9722213745,13.3436107635,Europe/Berlin,
EDBZ,,Schwarzheide/Schipkau Airport,Schwarzheide,Brandenburg,DE,331,51.4897232056,13.8794441223,Europe/Berlin,
EDCA,,Anklam Airport,Anklam,Mecklenburg-Vorpommern,DE,16,53.8327789307,13.6686105728,Europe/Berlin,
EDCB,,Ballenstedt Airport,Ballenstedt,Saxony-Anhalt,DE,535,51.7458343506,11.229722023,Europe/Berlin,
EDCD,CBU,Cottbus-Drewitz Airport,Cottbus,Brandenburg,DE,272,51.8894424438,14.5319442749,Europe/Berlin,
EDCE,,Eggersdorf Airport,Eggersdorf,Brandenburg,DE,223,52.4816665649,14.0874996185,Europe/Berlin,
EDCF,,Friedersdorf Airport,,Brandenburg,DE,115,52.2832984924,13.8069000244,Europe/Berlin,
EDCG,GTI,Rugen Airport,Rugen,Mecklenburg-Vorpommern,DE,69,54.3833312988,13.3255558014,Europe/Berlin,
EDCH,,Sprossen Airport,Rehmsdorf,Saxony-Anhalt,DE,673,51.043056488,12.233332634,Europe/Berlin,
EDCI,,Klix Airport,Bautzen,Saxony,DE,486,51.2738876343,14.5063886642,Europe/Berlin,
EDCJ,,Chemnitz/Jahnsdorf Airport,Chemnitz,Saxony,DE,1198,50.7475013733,12.8374996185,Europe/Berlin,
EDCK,,Kothen Airport,Kothen,Saxony-Anhalt,DE,305,51.7211112976,11.9527778625,Europe/Berlin,
EDCL,,Klietz/Scharlibbe Airport,Scharlibbe,Saxony-Anhalt,DE,95,52.7094421387,12.0733327866,Europe/Berlin,
EDCM,,Kamenz Airport,Kamenz,Saxony,DE,495,51.2969436646,14.1274995804,Europe/Berlin,
EDCN,,Nauen Airport,,Brandenburg,DE,112,52.6277999878,12.9139003754,Europe/Berlin,
EDCO,,Obermehler-Schlotheim Airport,Obermehler,Thuringia,DE,909,51.2677764893,10.634721756,Europe/Berlin,
EDCP,PEF,Peenemunde Airport,Peenemunde,Mecklenburg-Vorpommern,DE,7,54.1577796936,13.7744436264,Europe/Berlin,
EDCQ,,Aschersleben Airport,Aschersleben,Saxony-Anhalt,DE,525,51.7669448853,11.4983329773,Europe/Berlin,
EDCR,,Rerik-Zweedorf Airport,Rerik,Mecklenburg-Vorpommern,DE,30,54.081943512,11.6491670609,Europe/Berlin,
EDCS,,Saarmund Airport,Saarmund,Brandenburg,DE,174,52.3083343506,13.1005563736,Europe/Berlin,
EDCT,,Taucha Airport,Taucha,Saxony,DE,492,51.3950004578,12.5369443893,Europe/Berlin,
EDCU,,Gustrow Airport,Gustrow,Mecklenburg-Vorpommern,DE,46,53.8052787781,12.2305555344,Europe/Berlin,
EDCV,,Pasewalk Airport,Pasewalk,Mecklenburg-Vorpommern,DE,72,53.505279541,13.9483327866,Europe/Berlin,
EDCW,,Wismar Airport,Wismar,Mecklenburg-Vorpommern,DE,43,53.9144439697,11.4994440079,Europe/Berlin,
EDCX,,Purkshof Airport,Rostock,Mecklenburg-Vorpommern,DE,66,54.1616668701,12.2486114502,Europe/Berlin,
EDCY,,Spremberg-Welzow Airport,Welzow,Brandenburg,DE,374,51.5755577087,14.1369438171,Europe/Berlin,
EDDB,BER,Berlin Brandenburg Airport,Berlin,Brandenburg,DE,156,52.362167,13.500667,Europe/Berlin,
EDDC,DRS,Dresden Airport,Dresden,Saxony,DE,755,51.1328010559,13.76720047,Europe/Berlin,
EDDE,ERF,Erfurt Airport,Erfurt,Thuringia,DE,1036,50.979801178,10.9581003189,Europe/Berlin,
EDDF,FRA,Frankfurt am Main International Airport,Frankfurt-am-Main,Hesse,DE,364,50.0264015198,8.543129921,Europe/Berlin,
EDDG,FMO,Munster Osnabruck Airport,Munster,North-Rhine-Westphalia,DE,160,52.134601593,7.6848301888,Europe/Berlin,
EDDH,HAM,Hamburg Airport,Hamburg,Hamburg,DE,53,53.6304016113,9.9882297516,Europe/Berlin,
EDDI,THF,Berlin Tempelhof Airport,Berlin,Berlin,DE,164,52.473611,13.401667,Europe/Berlin,
