,lat,lon,weather,time,pressure,temperature
81,-28.04,153.19,2147483647,2023-03-06 12:00:00,-1e+100,291.55
82,-36.65,140.52,2147483647,2023-03-06 12:00:00,-1e+100,287.85
83,-27.22,153.09,2147483647,2023-03-06 12:00:00,-1e+100,297.55
84,-37.69,148.47,2147483647,2023-03-06 12:00:00,-1e+100,287.95
85,-9.81,-139.04,2147483647,2023-03-06 12:00:00,-1e+100,0.1
86,49.58,15.76,10,2023-03-06 10:00:00,-1e+100,274.65000000000003
87,-1e+100,-1e+100,2147483647,2023-03-06 12:00:00,-1e+100,282.55
88,53.8,10.7,11,2023-03-06 12:00:00,-1e+100,277.15000000000003
89,50.43,12.95,17,2023-03-06 12:00:00,85000.0,269.35
90,-1e+100,-1e+100,2147483647,2023-03-06 12:00:00,-1e+100,282.95
91,47.8,11.01,17,2023-03-06 12:00:00,85000.0,272.65
92,51.72,10.6,17,2023-03-06 12:00:00,-1e+100,273.35
93,48.92,9.69,17,2023-03-06 12:00:00,-1e+100,274.95
94,52.32,8.17,17,2023-03-06 12:00:00,-1e+100,276.55
95,47.72,10.33,14,2023-03-06 12:00:00,-1e+100,274.75
96,50.5,11.13,17,2023-03-06 12:00:00,85000.0,270.95
97,47.88,12.54,10,2023-03-06 12:00:00,-1e+100,276.45
98,41.8,-6.74,6,2023-03-06 09:00:00,-1e+100,278.85
99,-14.22,34.35,10,2023-03-06 12:00:00,85000.0,297.95
100,-19.8,34.9,10,2023-03-06 12:00:00,-1e+100,304.05
101,-13.28,35.25,9,2023-03-06 12:00:00,85000.0,293.45
102,-23.87,35.38,10,2023-03-06 12:00:00,-1e+100,304.85
103,-24.05,34.05,10,2023-03-06 12:00:00,-1e+100,303.95
104,-36.49,148.29,2147483647,2023-03-06 12:00:00,-1e+100,280.75
105,-22.59,167.45,2147483647,2023-03-06 12:00:00,-1e+100,-1e+100
106,-21.05,164.83,2147483647,2023-03-06 12:00:00,-1e+100,0.1
107,-27.99,143.81,2147483647,2023-03-06 12:00:00,-1e+100,305.65000000000003
108,-37.69,148.47,2147483647,2023-03-06 12:00:00,-1e+100,287.95
109,-14.46,-145.03,2147483647,2023-03-06 12:00:00,-1e+100,-1e+100
110,-9.81,-139.04,2147483647,2023-03-06 12:00:00,-1e+100,0.1
111,-21.92,-157.95,2147483647,2023-03-06 12:00:00,-1e+100,-1e+100
112,30.38,-9.56,10,2023-03-06 12:00:00,-1e+100,292.65000000000003
113,29.01,-10.05,10,2023-03-06 12:00:00,-1e+100,293.45
114,50.48,6.18,17,2023-03-06 12:00:00,-1e+100,273.65000000000003
115,34.05,-6.76,10,2023-03-06 12:00:00,-1e+100,292.95
116,50.58,3.83,10,2023-03-06 12:00:00,-1e+100,278.35
117,51.0,5.07,16,2023-03-06 12:00:00,-1e+100,278.25
118,47.06,2.36,2147483647,2023-03-06 12:00:00,-1e+100,0.2
119,43.01,1.11,2147483647,2023-03-06 12:00:00,-1e+100,0.3
120,48.69,6.22,2147483647,2023-03-06 12:00:00,-1e+100,0.0
121,42.54,9.49,2147483647,2023-03-06 12:00:00,-1e+100,0.1
122,48.45,0.11,2147483647,2023-03-06 12:00:00,-1e+100,0.1
123,4.82,-52.37,2147483647,2023-03-06 12:00:00,-1e+100,0.1
124,44.58,4.73,2147483647,2023-03-06 12:00:00,-1e+100,0.1
125,47.25,5.99,2147483647,2023-03-06 12:00:00,-1e+100,0.0
126,48.53,-4.15,2147483647,2023-03-06 12:00:00,-1e+100,-1e+100
127,44.43,-1.25,2147483647,2023-03-06 12:00:00,-1e+100,0.2
128,51.06,2.34,2,2023-03-06 12:00:00,-1e+100,0.1
129,47.56,-0.32,2147483647,2023-03-06 12:00:00,-1e+100,0.1
